timestamp,phase,gpu_index,memory_used_mb,memory_total_mb,utilization_pct
1784715943.2185185,startup,0,858.0,65536.0,0.0
1784715943.2185185,startup,1,858.0,65536.0,0.0
1784715943.2185185,startup,2,858.0,65536.0,0.0
1784715943.2185185,startup,3,858.0,65536.0,0.0
1784715943.2185185,startup,4,858.0,65536.0,0.0
1784715943.2185185,startup,5,858.0,65536.0,0.0
1784715943.2185185,startup,6,858.0,65536.0,0.0
1784715943.2185185,startup,7,858.0,65536.0,0.0
1784715944.5039744,startup,0,858.0,65536.0,0.0
1784715944.5039744,startup,1,858.0,65536.0,0.0
1784715944.5039744,startup,2,858.0,65536.0,0.0
1784715944.5039744,startup,3,858.0,65536.0,0.0
1784715944.5039744,startup,4,858.0,65536.0,0.0
1784715944.5039744,startup,5,858.0,65536.0,0.0
1784715944.5039744,startup,6,858.0,65536.0,0.0
1784715944.5039744,startup,7,858.0,65536.0,0.0
1784715945.7912126,startup,0,858.0,65536.0,0.0
1784715945.7912126,startup,1,858.0,65536.0,0.0
1784715945.7912126,startup,2,858.0,65536.0,0.0
1784715945.7912126,startup,3,858.0,65536.0,0.0
1784715945.7912126,startup,4,858.0,65536.0,0.0
1784715945.7912126,startup,5,858.0,65536.0,0.0
1784715945.7912126,startup,6,858.0,65536.0,0.0
1784715945.7912126,startup,7,858.0,65536.0,0.0
1784715947.041604,startup,0,859.0,65536.0,0.0
1784715947.041604,startup,1,859.0,65536.0,0.0
1784715947.041604,startup,2,859.0,65536.0,0.0
1784715947.041604,startup,3,859.0,65536.0,0.0
1784715947.041604,startup,4,859.0,65536.0,0.0
1784715947.041604,startup,5,859.0,65536.0,0.0
1784715947.041604,startup,6,859.0,65536.0,0.0
1784715947.041604,startup,7,859.0,65536.0,0.0
1784715948.3254695,startup,0,859.0,65536.0,0.0
1784715948.3254695,startup,1,859.0,65536.0,0.0
1784715948.3254695,startup,2,859.0,65536.0,0.0
1784715948.3254695,startup,3,859.0,65536.0,0.0
1784715948.3254695,startup,4,859.0,65536.0,0.0
1784715948.3254695,startup,5,859.0,65536.0,0.0
1784715948.3254695,startup,6,859.0,65536.0,0.0
1784715948.3254695,startup,7,859.0,65536.0,0.0
1784715949.6123655,startup,0,859.0,65536.0,0.0
1784715949.6123655,startup,1,859.0,65536.0,0.0
1784715949.6123655,startup,2,859.0,65536.0,0.0
1784715949.6123655,startup,3,859.0,65536.0,0.0
1784715949.6123655,startup,4,859.0,65536.0,0.0
1784715949.6123655,startup,5,859.0,65536.0,0.0
1784715949.6123655,startup,6,859.0,65536.0,0.0
1784715949.6123655,startup,7,859.0,65536.0,0.0
1784715950.893933,startup,0,859.0,65536.0,0.0
1784715950.893933,startup,1,859.0,65536.0,0.0
1784715950.893933,startup,2,859.0,65536.0,0.0
1784715950.893933,startup,3,859.0,65536.0,0.0
1784715950.893933,startup,4,859.0,65536.0,0.0
1784715950.893933,startup,5,859.0,65536.0,0.0
1784715950.893933,startup,6,859.0,65536.0,0.0
1784715950.893933,startup,7,859.0,65536.0,0.0
1784715952.1778376,startup,0,859.0,65536.0,0.0
1784715952.1778376,startup,1,859.0,65536.0,0.0
1784715952.1778376,startup,2,859.0,65536.0,0.0
1784715952.1778376,startup,3,859.0,65536.0,0.0
1784715952.1778376,startup,4,859.0,65536.0,0.0
1784715952.1778376,startup,5,859.0,65536.0,0.0
1784715952.1778376,startup,6,859.0,65536.0,0.0
1784715952.1778376,startup,7,859.0,65536.0,0.0
1784715953.4608786,startup,0,859.0,65536.0,0.0
1784715953.4608786,startup,1,859.0,65536.0,0.0
1784715953.4608786,startup,2,859.0,65536.0,0.0
1784715953.4608786,startup,3,859.0,65536.0,0.0
1784715953.4608786,startup,4,859.0,65536.0,0.0
1784715953.4608786,startup,5,859.0,65536.0,0.0
1784715953.4608786,startup,6,859.0,65536.0,0.0
1784715953.4608786,startup,7,859.0,65536.0,0.0
1784715954.7459364,startup,0,859.0,65536.0,0.0
1784715954.7459364,startup,1,859.0,65536.0,0.0
1784715954.7459364,startup,2,859.0,65536.0,0.0
1784715954.7459364,startup,3,859.0,65536.0,0.0
1784715954.7459364,startup,4,859.0,65536.0,0.0
1784715954.7459364,startup,5,859.0,65536.0,0.0
1784715954.7459364,startup,6,859.0,65536.0,0.0
1784715954.7459364,startup,7,859.0,65536.0,0.0
1784715956.029863,startup,0,859.0,65536.0,0.0
1784715956.029863,startup,1,859.0,65536.0,0.0
1784715956.029863,startup,2,859.0,65536.0,0.0
1784715956.029863,startup,3,859.0,65536.0,0.0
1784715956.029863,startup,4,859.0,65536.0,0.0
1784715956.029863,startup,5,859.0,65536.0,0.0
1784715956.029863,startup,6,859.0,65536.0,0.0
1784715956.029863,startup,7,859.0,65536.0,0.0
1784715957.3143141,startup,0,859.0,65536.0,0.0
1784715957.3143141,startup,1,859.0,65536.0,0.0
1784715957.3143141,startup,2,859.0,65536.0,0.0
1784715957.3143141,startup,3,859.0,65536.0,0.0
1784715957.3143141,startup,4,859.0,65536.0,0.0
1784715957.3143141,startup,5,859.0,65536.0,0.0
1784715957.3143141,startup,6,859.0,65536.0,0.0
1784715957.3143141,startup,7,859.0,65536.0,0.0
1784715958.5987418,startup,0,859.0,65536.0,0.0
1784715958.5987418,startup,1,859.0,65536.0,0.0
1784715958.5987418,startup,2,859.0,65536.0,0.0
1784715958.5987418,startup,3,859.0,65536.0,0.0
1784715958.5987418,startup,4,859.0,65536.0,0.0
1784715958.5987418,startup,5,859.0,65536.0,0.0
1784715958.5987418,startup,6,859.0,65536.0,0.0
1784715958.5987418,startup,7,859.0,65536.0,0.0
1784715959.8852272,startup,0,859.0,65536.0,0.0
1784715959.8852272,startup,1,859.0,65536.0,0.0
1784715959.8852272,startup,2,859.0,65536.0,0.0
1784715959.8852272,startup,3,859.0,65536.0,0.0
1784715959.8852272,startup,4,859.0,65536.0,0.0
1784715959.8852272,startup,5,859.0,65536.0,0.0
1784715959.8852272,startup,6,859.0,65536.0,0.0
1784715959.8852272,startup,7,859.0,65536.0,0.0
1784715961.1313741,startup,0,859.0,65536.0,0.0
1784715961.1313741,startup,1,859.0,65536.0,0.0
1784715961.1313741,startup,2,859.0,65536.0,0.0
1784715961.1313741,startup,3,859.0,65536.0,0.0
1784715961.1313741,startup,4,859.0,65536.0,0.0
1784715961.1313741,startup,5,859.0,65536.0,0.0
1784715961.1313741,startup,6,859.0,65536.0,0.0
1784715961.1313741,startup,7,859.0,65536.0,0.0
1784715962.417813,startup,0,859.0,65536.0,0.0
1784715962.417813,startup,1,859.0,65536.0,0.0
1784715962.417813,startup,2,859.0,65536.0,0.0
1784715962.417813,startup,3,859.0,65536.0,0.0
1784715962.417813,startup,4,859.0,65536.0,0.0
1784715962.417813,startup,5,859.0,65536.0,0.0
1784715962.417813,startup,6,859.0,65536.0,0.0
1784715962.417813,startup,7,859.0,65536.0,0.0
1784715963.7209108,startup,0,859.0,65536.0,0.0
1784715963.7209108,startup,1,859.0,65536.0,0.0
1784715963.7209108,startup,2,859.0,65536.0,0.0
1784715963.7209108,startup,3,859.0,65536.0,0.0
1784715963.7209108,startup,4,859.0,65536.0,0.0
1784715963.7209108,startup,5,859.0,65536.0,0.0
1784715963.7209108,startup,6,859.0,65536.0,0.0
1784715963.7209108,startup,7,859.0,65536.0,0.0
1784715965.1598911,startup,0,859.0,65536.0,0.0
1784715965.1598911,startup,1,859.0,65536.0,0.0
1784715965.1598911,startup,2,859.0,65536.0,0.0
1784715965.1598911,startup,3,859.0,65536.0,0.0
1784715965.1598911,startup,4,859.0,65536.0,0.0
1784715965.1598911,startup,5,859.0,65536.0,0.0
1784715965.1598911,startup,6,859.0,65536.0,0.0
1784715965.1598911,startup,7,859.0,65536.0,0.0
1784715966.4445302,startup,0,859.0,65536.0,0.0
1784715966.4445302,startup,1,859.0,65536.0,0.0
1784715966.4445302,startup,2,859.0,65536.0,0.0
1784715966.4445302,startup,3,859.0,65536.0,0.0
1784715966.4445302,startup,4,859.0,65536.0,0.0
1784715966.4445302,startup,5,859.0,65536.0,0.0
1784715966.4445302,startup,6,859.0,65536.0,0.0
1784715966.4445302,startup,7,859.0,65536.0,0.0
1784715967.7306697,startup,0,859.0,65536.0,0.0
1784715967.7306697,startup,1,859.0,65536.0,0.0
1784715967.7306697,startup,2,859.0,65536.0,0.0
1784715967.7306697,startup,3,859.0,65536.0,0.0
1784715967.7306697,startup,4,859.0,65536.0,0.0
1784715967.7306697,startup,5,859.0,65536.0,0.0
1784715967.7306697,startup,6,859.0,65536.0,0.0
1784715967.7306697,startup,7,859.0,65536.0,0.0
1784715969.016291,startup,0,859.0,65536.0,0.0
1784715969.016291,startup,1,859.0,65536.0,0.0
1784715969.016291,startup,2,859.0,65536.0,0.0
1784715969.016291,startup,3,859.0,65536.0,0.0
1784715969.016291,startup,4,859.0,65536.0,0.0
1784715969.016291,startup,5,859.0,65536.0,0.0
1784715969.016291,startup,6,859.0,65536.0,0.0
1784715969.016291,startup,7,859.0,65536.0,0.0
